igId,date,followers,follows,posts,reachTotal,reachFollower,reachNonFollower,reachUnknown,impressions,profileVisits,webTaps,adReach,adLikes,adComments,adSaves,adShares,feedReach,feedLikes,feedComments,feedSaves,feedShares,storyReach,storyLikes,storyComments,storySaves,storyShares,reelReach,reelLikes,reelComments,reelSaves,reelShares,carouselReach,carouselLikes,carouselComments,carouselSaves,carouselShares
"""17841426142742891""",2025/02/25,740,415,335,118,105,13,0,478,9,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,118,0,0,0,0
"""17841426142742891""",2025/02/26,740,415,336,130,108,22,0,489,3,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,129,0,0,0,0
"""17841426142742891""",2025/02/27,740,415,337,120,104,16,0,473,7,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,119,0,0,0,0
"""17841426142742891""",2025/03/01,741,415,338,103,94,9,0,462,7,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,103,0,0,0,0
"""17841426142742891""",2025/03/02,743,415,338,64,48,17,0,211,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,64,0,0,0,0
"""17841426142742891""",2025/03/03,742,415,338,61,55,7,0,180,14,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,61,0,0,0,0
"""17841426142742891""",2025/03/04,740,414,339,72,67,5,0,155,12,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,72,0,0,0,0
"""17841426142742891""",2025/03/05,732,414,339,95,89,6,0,197,7,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,94,0,0,0,0
"""17841426142742891""",2025/03/06,725,414,340,80,72,8,0,231,11,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,79,0,0,0,0
"""17841426142742891""",2025/03/07,724,414,341,93,87,9,0,260,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,2,0,0,0,0,92,0,0,0,0
"""17841426142742891""",2025/03/08,725,415,341,94,80,14,0,179,8,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,90,0,0,0,0
"""17841426142742891""",2025/03/09,724,415,341,53,41,12,0,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
"""17841426142742891""",2025/03/10,724,415,341,57,43,14,0,192,6,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,56,0,0,0,0
